iter	RMSE
417	0.2376515018
418	0.2369932784
419	0.236405874
420	0.2361869209
421	0.2351786093
422	0.2349647325
423	0.2344021843
424	0.233263582
425	0.2327176839
426	0.2319983782
427	0.2309562068
428	0.2303802732
429	0.2299281687
430	0.2293880318
431	0.2288920684
432	0.2276750574
433	0.2274805394
434	0.226446945
435	0.2254795059
436	0.2251328734
437	0.2247950389
438	0.2239265296
439	0.2229151571
440	0.2227216232
441	0.2222261861
442	0.2211196277
443	0.2199856703
444	0.2198079756
445	0.2188016564
446	0.2178181604
447	0.2171948948
448	0.216087521
449	0.2150885993
450	0.2142036962
451	0.2137117323
452	0.2132438507
453	0.2128144514
454	0.2121289806
455	0.2116425629
456	0.2110631529
457	0.2108901292
458	0.2094079281
459	0.2088571417
460	0.2084261663
461	0.2082701273
462	0.2071124774
463	0.2058580831
464	0.2055646945
465	0.2050597024
466	0.2040346286
467	0.2036435479
468	0.2032249537
469	0.2029223694
470	0.2027806051
471	0.2017971417
472	0.201274872
473	0.2009051549
474	0.2005594761
475	0.199644083
476	0.1993096064
477	0.1988529356
478	0.1984763379
479	0.1978289922
480	0.1969252088
481	0.1961681731
482	0.1958256532
483	0.1953982856
484	0.1950849686
485	0.1948377683
486	0.1943536104
487	0.194088178
488	0.1930315851
489	0.1928946046
490	0.1926697295
491	0.1923377982
492	0.1919496983
493	0.1914576602
494	0.1910735092
495	0.1907205771
496	0.1904059403
497	0.1900768176
498	0.1894353215
499	0.1888451234
500	0.1881796538
501	0.1874300173
502	0.1870584756
503	0.1868613604
504	0.1859991982
505	0.1853988389
506	0.1844635601
507	0.184200379
508	0.1836464777
509	0.1828271277
510	0.1820200518
511	0.1818018192
512	0.1810534524
513	0.1804565574
514	0.1803452151
515	0.1800899253
516	0.179704276
517	0.1789878885
518	0.1783156581
519	0.177982448
520	0.1771031132
521	0.1769968098
522	0.1766983178
523	0.1763697908
524	0.1756812046
525	0.1755105586
526	0.1748826876
527	0.1745995528
528	0.1739987637
529	0.1737750228
530	0.1728256103
531	0.1726455594
532	0.1718558272
533	0.1712101558
534	0.1707263305
535	0.1697794329
536	0.1694339206
537	0.1691678473
538	0.1685286156
539	0.1683586916
540	0.1674280793
541	0.1669436361
542	0.1661517595
543	0.1653349662
544	0.1651417362
545	0.1645333585
546	0.164226806
547	0.1640329532
548	0.1637971233
549	0.16310429
550	0.1628782588
551	0.1621361647
552	0.1612557135
553	0.1611007407
554	0.1609404054
555	0.1608581645
556	0.1606352915
557	0.1600746404
558	0.1594630098
559	0.1589542027
560	0.1588118633
561	0.1582215159
562	0.1579393926
563	0.157604337
564	0.1572980253
565	0.1571330371
566	0.1564719531
567	0.1557841729
568	0.1550568518
569	0.1543175745
570	0.154172729
571	0.1535582986
572	0.1530829481
573	0.1528260017
574	0.1521656949
575	0.1516735506
576	0.1510009641
577	0.150441261
578	0.1502590574
579	0.1495457578
580	0.1491942682
581	0.1484834709
582	0.1482597078
583	0.1476706011
584	0.1470982296
585	0.1468724933
586	0.1467198388
587	0.1460259173
588	0.1456816403
589	0.1451820973
590	0.1450444734
591	0.1445747009
592	0.1441819036
593	0.1439456287
594	0.1436506016
595	0.1433943631
596	0.143061679
597	0.1426026148
598	0.1420483725
599	0.1418861655
600	0.1416396884
601	0.1410149113
602	0.1408217621
603	0.1406109964
604	0.1400723762
605	0.1396250396
606	0.1392867758
607	0.1386523297
608	0.1383828797
609	0.1379970035
610	0.1374995522
611	0.1369754139
612	0.1368511618
613	0.1364607935
614	0.1362905494
615	0.1358237323
616	0.1355824522
617	0.135402881
618	0.1352815577
619	0.1348186614
620	0.1343840292
621	0.1342013156
622	0.1339856226
623	0.1338802811
624	0.133706992
625	0.1332317303
626	0.1330053588
627	0.1324616091
628	0.1323433962
629	0.1322282672
630	0.1321715452
631	0.1319881714
632	0.1316377072
633	0.1315320029
634	0.1312087065
635	0.130635394
636	0.1301009127
637	0.1294767243
638	0.1292885566
639	0.1287560417
640	0.1283178262
641	0.1279283821
642	0.1276235148
643	0.1271052949
644	0.126851972
645	0.126664952
646	0.1265361763
647	0.1264842244
648	0.1263707345
649	0.1259854504
650	0.1254474017
651	0.1252798234
652	0.1251574835
653	0.1250470563
654	0.1249927957
655	0.1248390437
656	0.1246844198
657	0.1241802548
658	0.1237582498
659	0.1232464831
660	0.1230230906
661	0.1224688464
662	0.1220056202
663	0.1218153409
664	0.1216829406
665	0.12157707
666	0.1214848755
667	0.1213267472
668	0.1211903228
669	0.1211060994
670	0.1206612186
671	0.1204811619
672	0.1200595249
673	0.1196787618
674	0.1193143988
675	0.1188975526
676	0.1183157544
677	0.1181872021
678	0.1181056554
679	0.1179708286
680	0.1179010236
681	0.1178612502
682	0.117732444
683	0.1176624685
684	0.1175502347
685	0.1174823883
686	0.1169717383
687	0.1167066167
688	0.1165725756
689	0.1164571835
690	0.1163633813
691	0.1161488161
692	0.1157640408
693	0.115658959
694	0.1155528096
695	0.1151266376
696	0.1149109589
697	0.1144559409
698	0.1143317664
699	0.114231553
700	0.1139622481
701	0.1135387443
702	0.1134877458
703	0.1134293789
704	0.1133993147
705	0.1129634877
706	0.1125578224
707	0.1124922338
708	0.1124082606
709	0.1121558698
710	0.1120027062
711	0.1119742196
712	0.1116230822
713	0.1114455469
714	0.1113044682
715	0.1109978104
716	0.1107053837
717	0.1106466125
718	0.1103663236
719	0.1101779964
720	0.1099511538
721	0.1094577034
722	0.109418562
723	0.1093379268
724	0.1089336564
725	0.108764192
726	0.1085096474
727	0.1084497805
728	0.1080267643
729	0.1075958493
730	0.1075375721
731	0.1072112051
732	0.1070752499
733	0.106723412
734	0.1062338219
735	0.1060649533
736	0.1056617059
737	0.1052755265
738	0.1051573493
739	0.1050874039
740	0.1047032413
741	0.1043833648
742	0.1040582571
743	0.1038500707
744	0.1034461395
745	0.1033873652
746	0.1033422785
747	0.1031299339
748	0.1030082587
749	0.1025471487
750	0.1022390293
751	0.1019764536
752	0.1017319974
753	0.1015814
754	0.1012369941
755	0.1008878515
756	0.1006123899
757	0.1002965136
758	0.1000053067
759	0.0997735815
760	0.09962106541
761	0.09950300093
762	0.09924277073
763	0.09890004992
764	0.09852018875
765	0.09818295198
766	0.09815000896
767	0.09784110482
768	0.09769351256
769	0.09766234366
770	0.0975691281
771	0.09739431727
772	0.09732704948
773	0.09721353668
774	0.09709981791
775	0.0968001655
776	0.09672923462
777	0.09665755627
778	0.09641490304
779	0.09630611677
780	0.09598694789
781	0.0957244123
782	0.0956591347
783	0.09550980548
784	0.09531656555
785	0.0951660331
786	0.09508101074
787	0.09486745048
788	0.09448559847
789	0.09422741584
790	0.09416070758
791	0.09391496797
792	0.09359781127
793	0.09329721755
794	0.09298793715
795	0.09286275031
796	0.09265055379
797	0.09240365401
798	0.09230347287
799	0.09204123442
800	0.09195332099
801	0.09172034128
802	0.09162067669
803	0.0915982489
804	0.0914611408
805	0.09127375396
806	0.09102430256
807	0.09076071578
808	0.09048334535
809	0.09018630286
810	0.08984606252
811	0.08966199962
812	0.08960131045
813	0.0893436744
814	0.08909718065
815	0.08896141787
816	0.08867150451
817	0.0885305129
818	0.0882623656
819	0.0882410364
820	0.0880749299
821	0.08776657752
822	0.08772064102
823	0.08754593619
824	0.08736975784
825	0.08711105057
826	0.08707564964
827	0.08678196655
828	0.08668902855
829	0.08647274339
830	0.08642859918
831	0.08640637709
832	0.08620072915
833	0.08607465391
834	0.08605698166
835	0.08591607737
836	0.08576949072
837	0.08557307274
838	0.08517859158
839	0.08509533732
840	0.08488365652
841	0.08458956591
842	0.08423604467
843	0.08408658907
844	0.08392765978
845	0.08389567549
846	0.08386424614
847	0.08362733404
848	0.08335039089
849	0.0832684852
850	0.08316751668
851	0.08296667471
852	0.08293330977
853	0.08271241152
854	0.08251273904
855	0.08224650922
856	0.08205278622
857	0.08173690447
858	0.08171409246
859	0.08153140897
860	0.08129084643
861	0.08126373474
862	0.08105580098
863	0.0808699343
864	0.08066883436
865	0.08055837277
866	0.08035189056
867	0.08031993465
868	0.08029064066
869	0.08022220018
870	0.0799631077
871	0.07978855831
872	0.07952836135
873	0.07929016338
874	0.07913270217
875	0.07897311016
876	0.07871503865
877	0.0785606564
878	0.07837502423
879	0.07817549616
880	0.07797943079
881	0.07788705882
882	0.07774708987
883	0.07772389218
884	0.07761738128
885	0.07738742928
886	0.0771656166
887	0.07701596215
888	0.07678358635
889	0.07651660829
890	0.07638555369
891	0.07620378382
892	0.07604025402
893	0.07600191994
894	0.07589737288
895	0.07568181808
896	0.07543999603
897	0.07541479373
898	0.07525637716
899	0.07520358832
900	0.07514229211
901	0.07498681311
902	0.07480030901
903	0.07466097513
904	0.07440585527
905	0.07418464109
906	0.07406884915
907	0.07378682405
908	0.07377253485
909	0.07362619028
910	0.07345962737
911	0.07344093775
912	0.07325961369
913	0.07303952747
914	0.07279881008
915	0.07254685785
916	0.07249623641
917	0.07245735729
918	0.07236159774
919	0.07208968627
920	0.07188773876
921	0.07163282593
922	0.07150380303
923	0.07134048784
924	0.07126525465
925	0.07103948905
926	0.07091199869
927	0.07070166011
928	0.07055913553
929	0.07052841458
930	0.07045809964
931	0.07033203957
932	0.07016099172
933	0.07007698088
934	0.07000467808
935	0.06974172674
936	0.06958298692
937	0.06938424372
938	0.0692141747
939	0.06909370454
940	0.06893929526
941	0.06892144719
942	0.06877853413
943	0.06864831393
944	0.06843216061
945	0.06831281667
946	0.06821634771
947	0.06806320007
948	0.06782989105
949	0.06764999476
950	0.06748733341
951	0.06746973553
952	0.0674054463
953	0.067274016
954	0.06718629924
955	0.06714490924
956	0.06697801646
957	0.06677288972
958	0.06656165181
959	0.06645616957
960	0.06640168805
961	0.06618305188
962	0.06591920396
963	0.06576756312
964	0.06573954009
965	0.06559026394
966	0.06548031164
967	0.06539172029
968	0.06529112527
969	0.06511234409
970	0.06497326059
971	0.06490957667
972	0.06476308675
973	0.06455310349
974	0.06439035924
975	0.06416102719
976	0.06403951785
977	0.0638233165
978	0.06372802993
979	0.06352001922
980	0.06348838133
981	0.06334914383
982	0.06315776767
983	0.06297264687
984	0.06278141065
985	0.06267136667
986	0.0625552477
987	0.06239763216
988	0.06220397348
989	0.06217946066
990	0.06215391702
991	0.0620503958
992	0.06193938542
993	0.06187709344
994	0.06174293967
995	0.0615974468
996	0.06149855476
997	0.06142319776
998	0.06123036797
999	0.06108339728
05
998	0.05414797626
999	0.05409646115
555791775
997	0.05543466053
998	0.05527938752
999	0.05515656544
